;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
1342;1342;Системный аналитик;Краснодар;60000.0;80000.0;Цитадель, Общероссийская Дверная Биржа;2019-11-21;13;От 1 года до 3 лет;Полная занятость;Полный день;"Общероссийская дверная биржа «Цитадель» - бессменный лидер на рынке входных металлических дверей на территории России и стран СНГ. За 13 лет успешной работы мы расширили географию присутствия и открыли 18 филиалов в крупнейших городах России - от Сахалина до Калининграда. Компания также является абсолютным лидером по продажам дверей на экспорт, в 2018 году поставки осуществлялись в более чем 20 стран мира. У нас много планов и целей, и мы точно знаем в каком направлении двигаться, чтобы их достичь! В связи с динамичным и успешным ростом, в компании открыта вакансия &quot;Системного аналитика&quot;. Ты сможешь стать частью нашей команды, если:  обладаешь знаниями принципов электронного документооборота, опыт подключения партнёров к ЭДО; обладаешь знаниями типовых конфигураций 1С (желательно); имеешь опыт описания бизнес-процессов, опыт разработки ТЗ; владеешь навыками ведения проектной деятельности; способен контролировать результаты работы программистов, тестировать выполненные доработки; умеешь разрабатывать пользовательские инструкции и обучать пользователей работе с разработанным функционалом.  Твоими основными задачами в нашей компании будут:  составление грамотного ТЗ программистам со слов пользователей; контроль результатов работы программистов, тестирование сделанных доработок на правильность формирования выходных данных в соответствии с поставленными задачами; разработка пользовательских инструкций и обучение пользователей работе с разработанным функционалом; поддержка и обучение пользователей.  Мы предлагаем:   пятидневная рабочая неделя с 9 до 18 в комфортном офисе в экологически чистом районе;   официально оформляем с первого дня работы, платим зарплату выше рынка: оклад + прозрачная мотивация;  офис находится в поселке Агроном, в пригороде г. Краснодара, для удобства сотрудников у нас есть корпоративный транспорт (идет из 5 районов города: Фестивальный, ГМР, Славянский, Панорама, ЗИП); наличие удобной стоянки для личного транспорта внутри офиса; корпоративное кафе со всем необходимым оборудованием, снековые и кофейные аппараты; компания заботится о своих сотрудниках и обеспечивает рабочие места всем необходимым; проводим различные корпоративные мероприятия.  Если ты уверен в себе, имеешь здоровую амбициозность, потенциал и нацеленность на результат - Добро пожаловать в нашу команду!";Составление грамотного ТЗ программистам со слов пользователей. Контроль результатов работы программистов, тестирование сделанных доработок на правильность формирования выходных данных в...;Обладаешь знаниями принципов электронного документооборота, опыт подключения партнёров к ЭДО. Обладаешь знаниями типовых конфигураций 1С (желательно). Имеешь опыт описания...;;
354;354;Системный аналитик;Москва;120000.0;180000.0;СофтТелематика;2019-11-21;13;От 1 года до 3 лет;Полная занятость;Гибкий график;"Компания «СофтТелематика» – это российский разработчик информационных систем на базе открытых технологий. На протяжении многих лет мы реализуем крупномасштабные проекты по разработке высоконагруженных учетных и аналитических систем федерального масштаба. О технологиях: Нам нравятся opensource решения и технологии и мы их используем в наших проектах: Postgresql, MongoDB, Clickhouse от Яндекса, Camunda BPM, RabbitMq, Spring. На backend пишем на Java 8, Ruby, Python, Kotlin (микросервисная архитектура). Frontend: ES6, Vue.Js. Делаем мобильные приложения для Android и IOS. О команде: У нас свой штат разработчиков, аналитиков, тестировщиков и девопсов. Мы сами собираем требования, формализуем, согласовываем, пишем документацию, кодим, тестируем и выкатываем на продакшн. В компании работает больше 100 человек, из них больше 50 – разработчики, порядка 20 человек - аналитики. В нашу команду мы ищем аналитика Обязанности:  Сбор, анализ и формализация требований; Разработка и описание бизнес-процессов (BPMN 2); Проектирование экранных форм; Разработка проектной документации; Постановка задач на разработку; Функциональное тестирование.  Требования:  Глубокое понимание методологий разработки (Agile, Waterfall) и жизненного цикла ПО; Опыт работы с bug-трэкинговыми системами (Jira Agile, YouTrack и др.); Опыт обследования объекта автоматизации; Опыт разработки документации (ТЗ, ПМИ, BRD и др.); Опыт проектирования экранных форм (MS Visio, Balsamiq Mockups и др.); Опыт работы с СУБД (MS SQL, Oracle, MySQL, PostgreSQL и др., базовые знания SQL); Знание нотаций описания бизнес-процессов (BPMN, UML, IDEF0 и др.).  Является плюсом:  Опыт взаимодействия с заказчиком и ведения переговоров; Опыт написания ТЗ по ГОСТ 34.    Мы готовы предоставить:  Оформление согласно Трудовому Кодексу РФ; Стабильная, высокооплачиваемая заработная плата; оплачиваемый отпуск - 31 день; Новый офис в бизнес-центре на ст. Савеловская ; График работы с 10.00 до 19.00 (можно двигать); Возможности профессионального и карьерного роста; Отпускные/больничные согласно ТК РФ; Отсутствие дресс кода и бюрократии; Отличный пакет ДМС после испытательного срока (стоматология включена). Работа в команде профессионалов высокого уровня с возможностью карьерного и профессионального роста, участие в интересных проектах федерального и международного уровня. ";Сбор, анализ и формализация требований. Разработка и описание бизнес-процессов (BPMN 2). Проектирование экранных форм. Разработка проектной документации. ;Глубокое понимание методологий разработки (Agile, Waterfall) и жизненного цикла ПО. Опыт работы с bug-трэкинговыми системами (Jira Agile, YouTrack и...;;"Системный анализ;UML;SQL;Проектирование пользовательских интерфейсов;Постановка задач разработчикам;Разработка технических заданий;ГОСТ;BPMN"
1971;1971;Системный аналитик;Москва;80000.0;200000.0;БАРС Груп;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;"Компания «БАРС Груп», ведущий разработчик и интегратор решений для государственного и коммерческого секторов, ищет аналитика со знанием SQL, Excel на финансовый модуль. Проекты нашей компании реализуются во всех регионах России и за пределами нашей страны. Актуальность наших инноваций и слаженная работа широкой партнерской сети делают наши системы востребованными во множестве отраслей. Именно поэтому нам нужны люди умеющие профессионально вести диалог с заказчиками и клиентами.   Требования:  Хорошее знание Excel (сводные таблицы, функции , диаграммы, ВПР ); Общие знания баз данных (связь таблиц, витрины); Начальный уровень SQL (select, join, group , partition, case); Навыки XML, XSD; Навыки с сервисами интеграции (описание интеграционных механизмов, тестирование интеграционных сервисов). Коммуникабельность, инициативность  Плюсом будет: Опыт работы с Jira (или другие task-трекеры) , Confluence; Опыт постановки задач и формирования технической документации (ЧТЗ, ПМИ, ППИ). Моделирование бизнес-процессов, требований к ПО.     Обязанности:    Участвовать в обсуждениях по реализации новых аналитических отчнтов; Участвовать в обсуждении развития информационной системы; Участвовать в процессе сопровождения и техподдержки. Сбор требований с Заказчика на доработку ПО; Проектирование бизнес-процессов (технологии выполнения операций), описание бизнес-процессов, определение ключевых параметров эффективности процессов; Разработка функциональных требований и/или координация работ по разработке требований на разработку/доработку ППО; Согласование требований с другими участниками проекта и с Заказчиком; Функциональное тестирование (авторская приемка) реализованной доработки.    Условия  Оформление по ТК РФ; Работа на территории заказчика; Белая зарплата, повышающаяся по системе аттестаций несколько раз в год; Перспективы карьерного роста; ДМС; Возможность предоставления бесплатного жилья на первый месяц для кандидатов из других городов.  Не упустите возможность работать в ведущей IT-компании. За нами – будущее!      ";Участвовать в обсуждениях по реализации новых аналитических отчнтов. Участвовать в обсуждении развития информационной системы. Участвовать в процессе сопровождения и техподдержки. ;Хорошее знание Excel (сводные таблицы, функции , диаграммы, ВПР ). Общие знания баз данных (связь таблиц, витрины). Начальный уровень SQL (select, join...;;"SQL;База данных: Oracle;Системная интеграция"
937;937;Системный аналитик;Казань;50000.0;;Зарница, ПО;2019-11-19;15;От 1 года до 3 лет;Полная занятость;Полный день;"Обязанности:  Участие в проектах по разработке и сопровождению программных продуктов; Сбор, анализ, формализация требований; Изучение предметной области разрабатываемого ПО, консультация разработчиков; Написание КП и ТЗ; Взаимодействие со смежными подразделениями, анализ обратной связи от заказчика; Работа с нормативными документами  Требования:  Высшее техническое образование; Опыт работы системным/бизнес аналитиком в разработке информационных систем от 1 года; Способность излагать свои мысли письменно и устно, языком понятным как IT специалистам, так и специалистам из других сфер деятельности Опыт в сфере разработки ПО Умение работать с инструментами описания бизнес-процессов(UML, BPMN) Грамотная устная и письменная речь  Условия:  Достойный уровень дохода (обсуждается индивидуально) Официальное ТД Система премий Организация корпоративных праздников, розыгрышей ценных призов Награждения юбиляров, молодых родителей, лучших работников месяца Компенсация затрат на лечение Гибкий график (8-ми часовой рабочий день+1 час обед) Комната отдыха, чай/кофемашина, сладости ";Участие в проектах по разработке и сопровождению программных продуктов. Сбор, анализ, формализация требований. Изучение предметной области разрабатываемого ПО, консультация разработчиков. ;Высшее техническое образование. Опыт работы системным/бизнес аналитиком в разработке информационных систем от 1 года. Способность излагать свои мысли письменно...;;
1038;1038;Системный аналитик;Пермь;50000.0;;ХОСТ, Группа компаний;2019-11-27;7;От 1 года до 3 лет;Полная занятость;Полный день;"ХОСТ - это компания с 26-ти летней историей, обладает репутацией надежного партнера в бизнесе и хорошего работодателя на рынке труда. Мы гордимся тем, что реализуем социально значимые проекты. Одним из ключевых направлений бизнеса Компании является разработка информационно-аналитических систем «МедВедь». Это комплекс информационных систем, которые автоматизируют процессы в области Здравоохранения и обеспечивают возможность пользоваться населению электронными услугами. Например, мы создаем системы, которые:  Помогают формировать, выгружать и отправлять отчеты больницам и поликлиникам на уровень Минздрава; Помогают пациентам записываться на прием к врачам; Помогают вести учет лекарственных средств; Интегрируют между собой региональные медицинские системы; И другие проекты.  Мы быстро развиваемся, количество проектов растет. Нашей команде нужно усиления, поэтому мы в поисках системного аналитика! Задачи, которые нужно решать:  Анализ бизнес-процессов и регламентирующих документов заказчика; Написание ТЗ, постановки задач для программистов; Проектирование баз данных; Участие в тестировании ИТ-решений; Внедрение ИТ-решений у заказчика; Проведение презентаций у заказчика, согласование состава работ с заказчиком.  Необходимые компетенции:  Знание принципов построения баз данных; Базовые знания языка SQL; Понимание принципов построения веб-приложений; Знание XML-технологий и опыт работы с ними: XML, XSD, XSLT, WSDL, SOAP; Опытный пользователь ПК (MS Office, MS Visio, MS Excel).  Мы предлагаем:  Нетривиальные проекты и задачи, которые поддерживают мозг в тонусе:) Поддержка со стороны руководства внешнего и внутреннего обучения; Заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); Достойный доход, который обсуждаем индивидуально; Насыщенную корпоративную жизнь: отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018-2019 годы покорили Конжак, Юрму, Зюраткуль, Иремель. ";Помогают формировать, выгружать и отправлять отчеты больницам и поликлиникам на уровень Минздрава. Помогают пациентам записываться на прием к врачам. ;Знание принципов построения баз данных. Базовые знания языка SQL. Понимание принципов построения веб-приложений. Знание XML-технологий и опыт работы...;;
62;62;Системный аналитик;Сочи;;;ECommPay IT;2019-11-15;19;От 1 года до 3 лет;Полная занятость;Полный день;"Ecommpay IT - европейская компания, успешно предоставляющая инновационные финансовые решения в области электронных платежей. На сегодняшний день мы являемся одним из лучших провайдеров платежных решений для широкого круга проектов e-commerce на российском, европейском и азиатском рынках. Мы продолжаем активно расти и развиваться, во многом благодаря нашей профессиональной команде, гибкости и нестандартному подходу в решении бизнес задач. Если тебе интересен системный анализ, оригинальные задачи, нелинейные способы решения и такая перспективная сфера, как электронная коммерция, тогда ты тот, кого мы ищем в нашу команду. Обязанности: · Общение с заказчиком: сбор и формализация бизнес требований; · Постановка требований (написание и согласование ТЗ): o На реализацию новых интеграций с платежными системами: как с банками, так и с альтернативными платежными системами (АПС); o На реализацию нового функционала и доработку текущего. · Сопровождение задач на всех этапах производства (участие в процессах тестирования и приемки функционала, написание документации); · Взаимодействие с разработчиками, тестировщиками, сотрудниками техподдержки. Требования: · Опыт работы в сфере IT; · Опыт сбора и подготовки бизнес/функциональных требований; · Опыт составления технических заданий для разработчиков; · Умение видеть картину в целом, подходить к задаче с разных точек зрения; · Опыт работы с системами jira и confluence приветствуется; · Желание развиваться в сфере e-commerce. Мы предлагаем возможность: · Работать с крутыми проектами из России, Европы и Азии; · Развиваться профессионально, постоянно получать новые знание и возможность переходить из одного проекта в другой. Преимущества работы у нас:  Удобный график работы: у нас гибкое начало дня с 8:00 до 11:00; Обучение и помощь в работе; Официальное оформление; Конкурентную зарплату (обсуждаем с каждым кандидатом); Благоприятную среду для профессионального развития: возможность посещения профильных конференции, тренингов, заказ необходимой литературы; Кроме этого проекта, есть еще несколько интересных (возможность переходить из одного проекта в другой); Соц. пакет (оплата больничных, отпусков, ДМС, оплата питания ); Отсутствие дресс-кода; свободная и позитивная атмосфера. ";Общение с заказчиком: сбор и формализация бизнес требований. Постановка требований (написание и согласование ТЗ): O На реализацию новых интеграций с...;Опыт работы в сфере IT. Опыт сбора и подготовки бизнес/функциональных требований. Опыт составления технических заданий для разработчиков. ;;
176;176;Системный аналитик;Москва;;;САТЕЛ, Группа компаний;2019-12-02;2;От 3 до 6 лет;Полная занятость;Полный день;Одна из ведущих российских IT-компаний, работающая на рынке системной интеграции, информационных и коммуникационных технологий. В команду разработки информационных систем требуется системный аналитик для участия в проектах по разработки корпоративных мобильных приложений, интеграции информационных систем, построению систем бизнес-аналитики и поддержки принятия решений. Чем заниматься?  Проведение обследования бизнес-процессов   Постановка задач на разработку программных продуктов   Подготовка и согласование проектных документов Подготовка презентаций Обучение пользователей  Обязательные условия  Опыт участия в ИТ-проектах в роли аналитика от 1 года Навык проведения интервью заказчика Навык формирования требований к программным продуктам Навык написания документов (ТЗ, функциональных спецификаций и т.д.) Навык структурирования и анализа информации Постановка задач разработчикам Знание ГОСТ 34, методологий описания бизнес-процессов Ответственность и аккуратность Умение работать в команде Готовность к командировкам, раз в два месяца 2-3 дня  Желательно:  Опыт работы с базами данных, XML BPMN, UML, IDEF0  Условия:  Работа в стабильно работающей и развивающейся команде Молодой коллектив Оформление по ТК Корпоративная мобильная связь ;Проведение обследования бизнес-процессов. Постановка задач на разработку программных продуктов. Подготовка и согласование проектных документов. Подготовка презентаций. Обучение пользователей.;Опыт участия в ИТ-проектах в роли аналитика от 1 года. Навык проведения интервью заказчика. Навык формирования требований к программным...;;
401;401;Системный аналитик;Екатеринбург;;;Уральская горно-металлургическая компания;2019-11-19;15;Нет опыта;Полная занятость;Полный день;"ООО «УГМК-Телеком» приглашает к сотрудничеству Системного аналитика «УГМК-Телеком» – крупный оператор современных услуг связи, работающий на рынке телекоммуникаций более 10 лет, наша филиальная сеть включает свыше 20 офисов в городах России. Одно из направлений нашей деятельности – предоставление услуг интернета, телевидения и телефонии для физических и юридических лиц. Также мы занимаемся строительством и обслуживанием различных систем связи и безопасности для предприятий холдинга УГМК и юридических лиц. Обязанности: - Написание технических заданий - Написание постановок на разработку - Технический анализ бизнес-процессов - Сбор и анализ требований от заказчиков - Сопровождение процесса разработки на протяжении всего цикла Требования: - Усидчивость - Способность работать с документами и людьми - Ориентация преимущественно на работу в офисе (возможен небольшой процент удалённой работы) Условия: - Карьерный рост до ведущего, главного аналитика - Оформление по ТК РФ. Стабильная белая заработная плата; - Бонусы по итогам реализации проектов; - Гибкий график работы, отсутствие бюрократии. Agile- подход к процессам; - Удобный офис с современной техникой в г. Екатеринбург. Отсутствие дресс-кода; - Служебная сотовая связь, корпоративное такси; - Оплата профессионального обучения и участия в конференциях; - ДМС с широким спектром услуг.  ";Написание технических заданий. - Написание постановок на разработку. - Технический анализ бизнес-процессов. - Сбор и анализ требований от заказчиков. - Сопровождение процесса разработки...;Усидчивость. - Способность работать с документами и людьми.;;"Бизнес-анализ;Аналитические исследования;Ориентация на результат;Системный анализ;Аналитическое мышление"
414;414;Системный аналитик;Санкт-Петербург;;;Dialog;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;"Привет! Мы разрабатываем современное решение для эффективных коммуникаций в крупных компаниях, небольших командах и сообществах. Платформа dialog сочетает в себе привычные функции мессенджеров, высокий уровень безопасности и инструменты для автоматизации рутинных задач. В нашей компании dialog стал основным средством коммуникации. Мы пользуемся продуктом, который разрабатываем, и ежедневно улучшаем его. Сейчас мы хотим дополнить свою команду системным аналитиком, который будет понимать бизнес требования и трансформировать их в системные, чтобы вместе с нами создать лучший корпоративный мессенджер. Чем предстоит заниматься:  управление требованиями:  выявление, сбор, анализ и формализация; исключение противоречий, проверка на полноту, оценка выполнимости; определение подходов и способов достижения требований; согласование с внутренним заказчиком; разработка функциональных и нефункциональных требований.   описание бизнес-процессов:  оптимизация существующих процессов; моделирование AS IS и TO BE; декомпозиция на User Stories.   ведение задач:  поддержка актуальности в Jira; проставление зависимостей на Confluence и другие источники; постановка задач команде разработки; участие в процессах внедрения и сопровождения.   проектирование программных решений:  проработка концепции нового функционала с нуля (от идеи до детальной схемы); разработка документации для существующей платформы; обработка запросов бизнеса на развитие платформы.   коммуникация со всеми проектными командами:  анализа и дизайна; разработки и тестирования; архитектуры и внутренними заказчиками.    Что НЕ нужно будет делать:  бесконечно писать объёмные ТЗ; управлять приоритизацией требований; утопать в бюрократическом согласовании с менеджерами.  Что ожидаем от кандидата:  опыт работы в роли системного / бизнес-аналитика на проектах по разработке и внедрению ИС от 2-х лет; опыт постановки ТЗ, написания функциональных спецификаций, бизнес требований, системных требований, методик тестирования, пользовательской документации; практический опыт приёмки результатов разработки и непосредственного участия в тестировании разработанного функционала; навыки описания бизнес-процессов с использованием UML или BPMN; понимание основ проектирования UI и UX, либо разработки Use Cases высокой степени детализации; представление об основных элементах IT-архитектуры приложений; способность рассматривать задачу с разных точек зрения и выявлять истинные требования Заказчика.  Условия:  белая зарплата и годовые премии; гибкий график; участие в разработке open-source проектов компании и активная работа с сообществом; ДМС (после прохождения испытательного срока); возможность корпоративного обучения; техника Apple для работы; супер-адекватная и профессиональная команда; возможность оказывать влияние на продукт: обсуждать задачи не только с точки зрения методов реализации, но и с точки зрения рациональности и необходимости разрабатываемых фич, вносить свои идеи.  Несколько слов о себе всегда, как огромный плюс! :)";Управление требованиями: Выявление, сбор, анализ и формализация. Исключение противоречий, проверка на полноту, оценка выполнимости. Определение подходов и способов достижения требований. ;Опыт работы в роли системного / бизнес-аналитика на проектах по разработке и внедрению ИС от 2-х лет. ;;
419;419;Системный аналитик;Москва;;;OZON.ru;2019-12-02;2;Нет опыта;Полная занятость;Полный день;"Что нужно делать:  Описание текущей архитектуры информационных систем в компании; Участие в проектах разработки и изменения информационных систем: анализ текущих бизнес-процессов и функционала информационных систем; Подготовка (совместно с другими подразделениями) анализа влияния; Разработка (совместно с заказчиком) ТЗ на новый функционал.  Как мы видим будущего коллегу:  Высшее образование; Системное мышление, умение получать, структурировать и систематизировать информацию, четко излагать свои мысли; Знание принципов проектирования архитектуры информационных систем, их взаимодействия между собой; Знание цикла разработки информационных систем; Знание основных нотаций описания бизнес-процессов; Хорошие коммуникационные навыки, умение доносить и обосновывать свою точку зрения и слушать других.  Плюсом будет:  Реальный опыт в проектах разработки или интеграции крупных информационных систем; Профильный опыт в областях складской и/или транспортной логистики; Знание SQL, Python.  Что мы предлагаем:  Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce! Свободу действий в принятии решений; Достойный уровень заработной платы; Профессиональную команду, которой мы гордимся; Возможность развиваться вместе с нашим бизнесом;  А так же, корпоративные бонусы:  Здоровье: ДМС со стоматологией, страхование от несчастных случаев, полис выезжающих за рубеж. В офисе ведут прием врач-терапевт и психолог. Спорт: йога в офисе, беговой, футбольный, волейбольный клубы с тренером. Скидки на клубные карты различных фитнес-сетей. Развитие: наши сотрудники участвуют в конференциях, мы оплачиваем обучение. У нас есть корпоративная офлайн библиотека, доступ к онлайн-библиотеке MyBook и к онлайн-платформе обучения Eduson. Корпоративные программы: скидки и привилегии от компаний-партнёров для наших сотрудников Социальная ответственность: материальная помощь, подарочный сертификат при рождении ребенка Питание: можно перекусить на оборудованных кухнях (завтраки, фрукты, овощи, сэндвичи), в офисе расположены вендинговые аппараты здоровой еды. Вечером вас ждут аппетитные ужины Офис в Москва-Сити: просторный open-space с панорамными видами и местами для отдыха, социальная инфраструктура, автомобильная парковка частично компенсируется компанией; велопарковка ";Описание текущей архитектуры информационных систем в компании. Участие в проектах разработки и изменения информационных систем: анализ текущих бизнес-процессов и...;Высшее образование. Системное мышление, умение получать, структурировать и систематизировать информацию, четко излагать свои мысли. Знание принципов проектирования архитектуры информационных систем...;;"Python;SQL;Обучение и развитие;Складская логистика;Работа в команде"
