;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
320;320;Разработчик Android приложений;Санкт-Петербург;1200.0;1500.0;JAM.ME;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Удаленная работа;"Ищем разработчика Android приложений в проект JAM.MEХотите окунуться в атмосферу стартапа, где вы имеете возможность влиять на принимаемые решения, а разработка не зажата сотнями регламентов?Хотите создавать что-то новое, вместо того, чтобы бесконечно править баги и поддерживать старый код?Добро пожаловать к нам в команду!   Требования:- хорошие знания языков Kotlin и Java;- знание последних трендов в разработке Android приложений;- умение писать чистый, понятный с первого раза код, соответствующий Code Style;- опыт работы с REST API.Условия:- Занятость на проекте - полный день.- Работа на удаленной основе";;хорошие знания языков Kotlin и Java. - знание последних трендов в разработке Android приложений. - умение писать чистый, понятный с первого раза...;;"Android;Java;Kotlin"
374;374;C# .Net Developer (Middle);Новосибирск;1200.0;2000.0;Profit Center;2019-11-15;19;От 1 года до 3 лет;Полная занятость;Удаленная работа;Привет! Мы - продуктовая it-компания, которая ценит качественный подход к работе, любовь к делу, которым занимаемся, внутреннюю мотивацию и жизненную энергию. Это касается, как отношения сотрудников к компании, так и наоборот. Ничего нового не сказала, но если вам близко то, что перечислила - welcome. Основные задачи:  Участие в разработке ПО для работы на финансовых рынках Написание десктопных/серверных приложений на C# Оптимизация кода Минимизация задержек в передаче и обработке данных  Необходимые навыки:  Опыт разработки от 2х лет на C# Отличное понимание ООП Опыт построения многопоточных приложений Умение разбираться в чужом коде, писать качественный, быстрый и понятный код Способность быстро учиться и работать самостоятельно Уровень английского не важен  Будет преимуществом:  Опыт разработки высоконагруженных приложений  Компания предлагает:  Участие в разработке масштабного продукта компании Не простой кодинг, а решение уникальных задач Нацеленность на результат, а не на процесс Индивидуальный подход к каждому разработчику Удаленную занятость на полный рабочий день с гибким графиком Достойную оплату труда Возможность профессионального и карьерного роста  Все не опишешь двумя словами, но если заинтересовала - высылайте резюме!) В сопроводительном письме укажите, пожалуйста, желаемый уровень дохода.;Участие в разработке ПО для работы на финансовых рынках. Написание десктопных/серверных приложений на C#. Оптимизация кода. Минимизация задержек в...;Опыт разработки от 2х лет на C#. Отличное понимание ООП. Опыт построения многопоточных приложений. Умение разбираться в чужом коде...;;"C#;ООП;MySQL"
1549;1549;Senior System Analyst (Relocation to Bangkok);Москва;1200.0;3000.0;2C2P;2019-12-03;1;От 3 до 6 лет;Полная занятость;Полный день;"Responsibilities:  Design new IT solutions, modify, enhance or adapt existing systems and integrate new features or improvements. Create the following documentation: Requirements documents, Feasibility studies, Design specifications, Flowcharts and diagrams, Training documents, Testing documents, Disaster recovery plans (DRPs). Analyse systems requirements, examine existing IT systems and business models. Implement, configure and test feasible solutions. Specify and shape the system requirements and operations, the user interface and output and present the proposal to the stakeholders. Work closely with the client team, including commercial managers and software developers, during both the report and implementation phase.  Requirements:  Bachelor’s degree in Computer Science or a related field. At least 5 years of experience on related field. Good knowledge of UML, requirements gathering and analysis. Possess a clear understanding of the software development life cycle. Good knowledge of OOP and systems integration. Strong experience on database driven Web applications. Good understanding of scope management and Work Breakdown Structure (WBS). Strong English communication skills both spoken and written  Benefit Package:  Air ticket plus reasonable personal effects to take up the position  Visa &amp; Work permit provided upon passing probation. Health, Accident &amp; Life Insurance  Annual Health Check-up (after probation period). Dental Allowance as per company policy (after probation period). Provident Fund (after probation period). Government Social Security Fund Distribution as required by Thai law. Actual expense reimbursement on relevant professional activities. Annual Leave and other leaves as per the Company’s policy.  ​​​​​";Design new IT solutions, modify, enhance or adapt existing systems and integrate new features or improvements. Create the following documentation...;Bachelor’s degree in Computer Science or a related field. At least 5 years of experience on related field. ;;"UML;Analysis;OOP;WBS"
1725;1725;Python разработчик;Москва;;3000.0;LeadBazaar;2019-11-05;29;От 3 до 6 лет;Полная занятость;Удаленная работа;"Что нужно делать:  проектировать архитектуру и разрабатывать внутреннюю систему рассылки уведомлений (емейлы, пуши, смски) клиентам проекта (сотни тысяч уведомлений в день); разрабатывать и поддерживать связанные с рассылками функции сайта и бэкофиса; вести документацию по получившимся фичам.  Требования:  ОБЯЗАТЕЛЬНО уметь писать SQL руками, откликаться на вакансию без этого скилла не нужно; отличное знание Python; опыт разработки скриптов, работающих в CLI (запуск, распараллеливание работы, логгирование, мониторинг и т.д.); программистский склад ума (умение сразу писать код с минимумом ошибок, дебажить в уме и т.п.); внимательность (умение перечитать описание задачи в джире перед выкладкой и убедиться, что всё сделано в соответствии с требованиями).  Технологии и инструменты:  Backend: Python 3, nginx, MySQL, RabbitMQ; Toolkit: gitlab, Slack, JIRA.  Условия:  полностью удалённая работа; зарплата в евро; гибкий рабочий день (можно сходить погулять, забрать детей и т.п.). ";Проектировать архитектуру и разрабатывать внутреннюю систему рассылки уведомлений (емейлы, пуши, смски) клиентам проекта (сотни тысяч уведомлений в день). ;ОБЯЗАТЕЛЬНО уметь писать SQL руками, откликаться на вакансию без этого скилла не нужно. Отличное знание Python. Опыт разработки скриптов, работающих...;;
868;868;React Frontend Developer;Москва;2000.0;4000.0;Emurgo;2019-11-22;12;От 1 года до 3 лет;Полная занятость;Удаленная работа;"Cardano is a 3rd generation blockchain platform with more advanced features than any protocol yet developed, and the first one to evolve out of a scientific philosophy, where feature development is driven by scientific peer reviewed white papers.Papers: https://iohk.io/research/papers/Team: https://iohk.io/team/ Cardano is not a company but a group of three organizations: IOHK, EMURGO and Cardano Foundation that work closely together. EMURGO drives the adoption of Cardano &amp; adds value to ADA holders. We build, invest in &amp; advise projects that adopt Cardano blockchain. EMURGO HQ are in Singapore. But we also have presence in NY through our acceleration program dLab, India through our educational program to train over 2500+ developers. The R&amp;D team is mostly a distributed team with devs in: USA, Japan, Russia, etc. More info about EMURGO in our webpage and in our Youtube channel.Job DescriptionWe are looking for an Engineer or a developer with proven knowledge of React and a good eye for design to join the team. We are working in multiple projects worldwide and we have a lot of exposure.Some of the main responsibilities will be: Support development of new products Maintenance of current projects Learning! (really important and we are happy to teach).About the teamWe also embrace open source and you can find most of our work open sourced:- Yoroi Chrome Extension (Light Wallet) https://github.com/Emurgo/yoroi-frontend- Yoroi Mobile (iOS and Android) https://github.com/Emurgo/yoroi-mobile- Icarus Importer (Full Node in Haskell) https://github.com/Emurgo/project-icarus-importer- Seiza (Block Explorer) https://seiza.com- Tangata Manu (Blockchain Data Importer) https://github.com/Emurgo/tangata-manuYoroi is a light wallet for Cardano. It&#39;s secure, fast and simple. All the cryptography was coded in Rust and compiled to WebAssembly, where it&#39;s used by Javascript with Flow. We securing more than 200,000,000 USD using Yoroi and we have over 60,000 users. We also work closely with our investments in dLab https://dlab.vc and we are launching some cool projects in Asia.Please feel free to ask us any questions :)RequirementsWe are looking for a motivated developer that has a good eye for design, so the designs match what some of our designers created -- currently we are using Invision to share, comment and then look up the specifications of design. We would also like to make you part of the creation process and work together to define the UI and UX while maintaining a good balance between cool and a not too complex UI.We don&#39;t believe in micro-management -- therefore is necessary someone that is responsible and motivated.We basically use Slack and Clubhouse for communication and internal organization. We have people all over the world (Russia, Canada, US, Japan, China, Ukraine, Spain, France, etc) working in the team so English is a must.Skills:- 2+ years of experience with React- HTML / CSS / SASS- Flow- Git- Good level of EnglishOptionals Programming skills:- Experience with React-Native- Some experience with Sketch (so you can extract assets if necessary)- Basic knowledge of GraphQL (not really necessary, but it could be handy)BenefitsRemote work with flexible hours. Possibilities to learn more about programming, blockchain, formal methods, different cultures, etc. We strongly support learning and knowledge sharing. Also most of our work is open source.";Cardano is a 3rd generation blockchain platform with more advanced features than any protocol yet developed, and the first...;Skills: - 2+ years of experience with React. - Git. - Good level of English. Optionals Programming skills: - Experience with React-Native. - ;;"Git;JavaScript;HTML;Node.js;CSS;React"
1699;1699;JavaScript Developer (React, React Native);Москва;;4500.0;Social Discovery Ventures;2019-12-02;2;От 3 до 6 лет;Полная занятость;Полный день;"Международный Интернет-холдинг Social Discovery Ventures приглашает в команду Senior JavaScript Developer (JS, React, React Native) для участия в разработке собственных продуктов. Мы создаем сложные масштабируемые веб-решения для широкой аудитории (&gt;1,5 млн. пользователей в сутки). Вы любите разбираться почему надо использовать одно решение, а не другое? Предпочитаете писать код, который можете прочитать не только Вы? Нравится испытывать на прочность новые технологии и старые подходы? Тогда эта вакансия для Вас! Мы ищем в Вас:   Уверенное владение HTML, CSS, JavaScript, React;   Умение строить на JS грамотные и обоснованные решения, а не только костыли;   Умение делать наброски архитектуры до начала работы с кодом, а не после;   Желание понимать и применять на практике принципы SOLID и многие другие практики.     Отдадим Вам предпочтение, если Вы:   Имеете опыт разработки мобильных приложений на стеке React Native;   Уверенно владеете HTML+CSS, React;   Не понаслышке знаете, что HTTP – это много разных RFC;   Умеете грамотно именовать сущности и инвалидировать кэш;   Имеете опыт code review.     Ваши задачи:   Разработка web и мобильных приложений на React/React Native;   Работа с существующими приложениями компании;   Работа с полным циклом приложения от проектирования, создания архитектуры и разработки до загрузки в store;   Разработка с использованием готового api, создание интерфейсов с учетом особенностей мобильной OC;   Выработка технических решений, участие в проектировании архитектуры web-приложений;   Оптимизация скорости работы и скорости загрузки web-приложения.     Мы с радостью предложим Вам:   Обучение новой современной технологии - React Native;   Амбициозные и креативные задачи, участие в международных проектах;   Возможность профессионального и карьерного роста внутри Компании;   Высокую заработную плату, бонусы за успешное выполнение задач;   Возможность работать по гибкому графику (нам важен результат!);   Высокоэффективную, молодую и дружную команду профессионалов, у которых есть чему поучиться;   Профессиональное обучение за счет компании;   Уникальную корпоративную культуру, запоминающиеся мероприятия;   Бонус лояльности, бонусы за рекомендацию успешных кандидатов на вакансии компании, премии за выполнение задач экстра-класса;   ДМС после успешного прохождения испытательного срока;   Креативный и уютный офис, корпоративный транспорт от м.Динамо   Корпоративную скидку на занятия английским языком, йогу и массаж в офисе;   Библиотеку бизнес-литературы: безлимитный доступ к электронной библиотеке Манн Иванов и Фербер, а также офисная библиотека &quot;живых&quot; бумажных книг;   Лекции по Art&amp;Technology и ЗОЖ;   Программу корпоративных привилегий PrimeZone;   Фрукты в витаминный день, релакс-зону с настольным футболом, мини-спортзал, летнюю веранду на крыше офиса, велопарковку и корпоративные велосипеды у входа в офисное здание;   Участие в спортивных мероприятиях, настолки с пиццей;   А еще у нас есть своя футбольная команда, которая с радостью примет Вас в свой коллектив!  ";Разработка web и мобильных приложений на React/React Native. Работа с существующими приложениями компании. Работа с полным циклом приложения от...;Уверенное владение HTML, CSS, JavaScript, React. Умение строить на JS грамотные и обоснованные решения, а не только костыли. ;;"JavaScript;React"
259;259;Senior C++ Developer;Омск;3000.0;5500.0;TeamDirector;2019-11-06;28;От 1 года до 3 лет;Полная занятость;Удаленная работа;Full time, remote working • 2+ years experience with C++11 or newer (Linux and Windows) Requirements: • Strong proficiency with Boost libraries • Strong understanding of relational databases, specifically PostgreSQL • Understanding fundamental design principles behind scalable applications • Implementing unit tests/integration tests • Proficient knowledge of git • Technical English level: Intermediate and upper. No verbal skills required • Good communication skills Will be a plus: • Knowledge of containers and Docker • Understanding AWS services • MacOS development;;2+ years experience with C++11 or newer (Linux and Windows). Requirements: Strong proficiency with Boost libraries. ;;"Linux;Английский язык;C++;Mac Os;Windows 7"
891;891;Специалист по обработке данных;Волгоград;15000.0;20000.0;Колос;2019-12-02;2;Нет опыта;Частичная занятость;Удаленная работа;Обязанности:  Необходимо составлять статистические данные из нужных для нас компонентов. В самой программе данные уже имеются, Стоит лишь выбрать важные для нас Иметь один из мессенджеров (Telegram), так же можно связаться. Ежедневник для записи информации.  Требования:  Аналитических и математических знаний от вас не требуется. Знание компьютера (начальный пользователь) программы Word, Excel Элементарные знания арифметики будет достаточно, т.к от вас требуется отнимать от большего значения меньшее. Г.ВОЛГОГРАД  Условия:  Трудоустройство неофициально или по трудовому договору График работы, 5/2 (Все обсуждается на собеседовании) Режим свободный от 1,5 до 3 часов в день. ;;Аналитических и математических знаний от вас не требуется. Знание компьютера (начальный пользователь) программы Word, Excel. Элементарные знания арифметики будет достаточно...;;"Работа с базами данных;Математический анализ;Statistica;Пользователь ПК;Поиск информации в интернет"
16;16;Стажёр Web-программист;Санкт-Петербург;20000.0;20000.0;ДЕЛАЙ ХОРОШО;2019-11-20;14;Нет опыта;Стажировка;Гибкий график;"Требуется ответственный, трудолюбивый начинающий веб-программист на подработку или полный день. Если Вы начинающий веб-программист или студент, изучающий веб-программирование, и желаете получить опыт в небольшой, но развивающейся компании, то смело откликайтесь на наше объявление. Обязанности:  Разработка сайтов. Верстка страниц сайтов по макетам. Тестирование и отладка. Администрирование сайтов.  Требования:  Образование: любое; Желание учиться и развиваться; Начальные знания и умения HTML-вёрстки, PHP и JavaScript; Продвинутые знания этих языков будут преимуществом.  Условия:  График: Гибкий график, если у вас учёба в университете или колледже, то есть возможность подстроить ваш рабочий график или же полный рабочий день; В дальнейшем возможно увеличение заработной платы, в зависимости от ваших успехов в работе. ";Разработка сайтов. Верстка страниц сайтов по макетам. Тестирование и отладка. Администрирование сайтов.;Образование: любое. Желание учиться и развиваться. Начальные знания и умения HTML-вёрстки, PHP и JavaScript. Продвинутые знания этих языков будут...;;"CSS3;HTML5;PHP;JavaScript;jQuery;ООП;Ajax;Адаптивная верстка"
594;594;Дизайнер/Администратор сайта;Самара;20000.0;20000.0;Сигма;2019-11-13;21;От 1 года до 3 лет;Частичная занятость;Удаленная работа;"О нас: Мы — молодое и динамично-развивающееся модельное агентство. Для нас моделинг — это не работа. Это — наша жизнь. Мы создаем огромную и дружную #Sigmafamily в более чем 70 городах России и Беларуси, и сейчас являемся крупнейшим модельным агентством в России и СНГ. Обязанности:- Создание и подготовка макетов для социальных сетей;- Работа по имеющимся макетам;- Ведения сайта на WordPress.Требования:- Высокая скорость выполнения задач;- Опыт работы с Adobe Illustrator, Adobe Photoshop; Условия:- Оклад 20 000;- Частичная занятость, удаленная работа.  В сопроводительном письме указывайте ссылки на портфолио.   ";Создание и подготовка макетов для социальных сетей. - Работа по имеющимся макетам. - Ведения сайта на WordPress.;Высокая скорость выполнения задач. - Опыт работы с Adobe Illustrator, Adobe Photoshop.;;"CMS Wordpress;Adobe Photoshop;Высокая скорость печати;Web-дизайн;Графический дизайн;Adobe Illustrator"
